gene,cell_0.0,cell_1.0,cell_2.0,cell_3.0,cell_4.0,cell_5.0,cell_6.0,cell_7.0,cell_8.0,cell_9.0,cell_10.0,cell_11.0,cell_12.0,cell_13.0,cell_14.0,cell_15.0,cell_16.0,cell_17.0,cell_18.0,cell_19.0,cell_20.0,cell_21.0,cell_22.0,cell_23.0,cell_24.0,cell_25.0,cell_26.0,cell_27.0,cell_28.0,cell_29.0,cell_30.0,cell_31.0,cell_32.0,cell_33.0,cell_34.0,cell_35.0,cell_36.0,cell_37.0,cell_38.0,cell_39.0,cell_40.0,cell_41.0,cell_42.0,cell_43.0,cell_44.0,cell_45.0,cell_46.0,cell_47.0,cell_48.0,cell_49.0,cell_50.0,cell_51.0,cell_52.0,cell_53.0,cell_54.0,cell_55.0,cell_56.0,cell_57.0,cell_58.0,cell_59.0,cell_60.0,cell_61.0,cell_62.0,cell_63.0,cell_64.0,cell_65.0,cell_66.0,cell_67.0,cell_68.0,cell_69.0,cell_70.0,cell_71.0,cell_72.0,cell_73.0,cell_74.0,cell_75.0,cell_76.0,cell_77.0,cell_78.0,cell_79.0,cell_80.0,cell_81.0,cell_82.0,cell_83.0,cell_84.0,cell_85.0,cell_86.0,cell_87.0,cell_88.0,cell_89.0,cell_90.0,cell_91.0,cell_92.0,cell_93.0,cell_94.0,cell_95.0,cell_96.0,cell_97.0,cell_98.0,cell_99.0
Slc35e3,0,0,0,0,0,0,0,0,0,0,1,2,0,2,4,2,3,1,0,0,7,0,1,0,5,3,2,2,4,2,0,6,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,5,3,1,1,4,6,0,0,2,6,0,2,0,3,0,6,0,1,0,1,0,0,0,0,1,0,0,6,0,4,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,1,0,0,0
Nab2,0,0,0,0,0,0,0,0,0,0,4,0,0,4,1,2,2,0,0,0,5,1,0,0,2,1,4,0,5,5,0,4,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,2,6,0,1,1,2,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,4,0,0,0,0,0,2,0,0,1,0,0,0,0
Ddx58,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,1,1,2,0,0,4,1,3,0,7,4,1,4,8,4,0,7,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,6,4,2,5,5,2,0,2,1,5,0,1,0,1,0,0,0,3,0,0,0,3,0,0,6,1,0,11,0,5,0,0,0,0,4,4,0,0,0,0,0,3,0,0,4,2,0,0,0
Msn,0,0,0,0,0,0,0,0,0,0,5,6,0,9,14,7,0,5,0,0,5,1,10,1,4,9,8,17,7,8,0,19,0,8,0,0,0,1,6,0,5,0,17,0,0,3,0,0,0,0,0,19,7,2,16,12,15,0,4,6,9,0,3,0,8,0,2,6,5,0,3,0,4,0,0,11,24,0,6,0,16,0,0,0,0,7,14,0,0,0,0,1,9,0,1,4,9,1,0,0
Socs2,0,0,0,0,0,0,0,0,0,0,19,5,1,17,8,3,3,4,1,0,2,0,3,1,3,22,4,10,8,4,2,18,0,10,0,1,2,0,20,0,3,1,16,0,0,0,0,0,0,0,0,8,7,4,3,13,14,0,9,0,14,0,5,0,2,0,0,7,0,0,12,0,0,0,1,4,13,0,19,1,20,0,4,0,0,7,7,0,0,0,3,1,3,0,0,4,10,2,0,1
Il6st,0,0,0,0,0,0,0,0,0,0,7,5,0,4,6,1,3,2,0,0,9,0,1,0,13,8,4,4,8,4,0,9,0,6,0,0,0,1,12,0,1,0,10,0,0,0,0,0,0,0,0,17,14,3,2,4,8,0,4,1,7,0,7,0,8,0,2,2,3,0,4,0,0,0,1,9,6,0,23,1,8,0,3,0,0,9,8,0,0,0,2,1,12,0,0,9,10,1,0,0
Neto2,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,1,0,0,0,1,0,1,0,0,3,1,1,0,0,0,4,0,0,0,0,0,1,3,0,0,0,3,0,0,4,0,0,0,0,0,4,5,0,0,3,1,1,1,0,0,0,1,0,2,0,6,1,0,0,0,0,2,0,0,0,1,0,2,0,3,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0
Smad6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,4,3,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,0,2,0,1,1,0,0,2,0,0,0,0,1,3,0,1,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0
Coch,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,2,0,0,1,0,2,0,2,0,12,2,1,2,1,0,0,1,0,1,0,0,7,0,0,0,2,0,0,1,0,0,0,0,0,1,23,13,4,10,1,0,0,0,0,0,1,0,2,0,17,3,0,0,2,0,2,0,0,2,2,0,0,1,1,0,5,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Sh3rf2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicc1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Col4a1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,2,0,0,7,0,2,0,37,2,1,1,3,17,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,6,3,8,0,1,0,4,0,4,0,0,0,14,0,9,0,2,0,3,0,1,31,0,0,1,0,1,0,0,0,0,7,9,0,0,0,0,0,4,0,0,7,0,0,0,0
Mras,0,0,0,0,0,0,0,0,0,0,7,2,0,4,12,10,3,5,2,0,15,2,5,0,15,8,3,1,10,23,0,7,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,8,1,0,5,7,9,0,2,5,11,0,7,0,2,0,3,3,2,0,0,0,5,0,0,16,10,0,4,0,12,0,2,0,0,1,11,0,0,0,0,0,1,0,0,10,0,0,0,0
Lpar5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,1,0,0,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Prdm14,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,3,2,1,0,0,0,0,0,0,2,0,2,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,1,0,5,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,2,0,0,1,1,0,0,0
Dazl,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,1,4,0,0,0,10,1,1,0,0,0,2,0,11,0,0,18,0,0,0,0,0,2,13,0,0,0,2,0,0,0,0,0,0,0,0,26,9,1,15,1,3,4,1,1,1,0,4,0,0,0,1,2,0,0,0,0,5,0,0,2,0,0,0,0,3,0,0,0,0,0,10,0,0,0,2,0,24,0,0,2,0,0,0,0
Pecam1,0,0,0,0,0,0,0,0,0,0,23,0,0,0,5,5,2,0,0,0,3,0,0,0,7,3,4,1,12,6,3,21,0,2,0,1,0,0,5,0,0,2,5,0,0,2,0,0,0,0,0,12,1,0,4,1,7,0,2,3,16,0,3,0,2,0,14,1,2,0,4,0,1,0,1,7,3,0,4,0,0,0,1,0,0,15,4,0,0,0,1,0,1,0,0,8,0,0,0,0
Cbfa2t2,0,0,0,0,0,0,0,0,0,0,7,2,0,3,2,10,10,9,0,0,8,1,7,2,11,1,10,3,6,5,0,14,0,6,0,1,2,1,4,0,0,0,3,0,0,2,0,0,0,0,0,12,8,7,9,9,10,0,6,2,12,0,5,0,8,0,11,7,4,0,2,0,3,0,0,23,9,0,9,1,7,0,1,0,0,12,14,0,0,0,4,3,9,0,0,5,3,0,0,0
Cnn2,0,0,0,0,0,0,0,0,0,0,4,4,0,8,9,5,4,7,0,0,11,0,9,6,24,11,58,4,23,25,1,29,0,16,0,0,1,0,4,0,1,1,10,0,0,3,0,0,0,0,0,9,6,2,18,9,6,0,4,1,4,0,7,0,7,0,2,4,11,0,5,0,10,0,0,34,14,0,32,3,21,0,0,0,0,7,8,0,0,0,0,2,10,0,0,6,7,2,0,0
Src,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,1,2,9,0,0,4,0,1,0,3,4,3,1,3,8,0,11,0,1,0,0,1,0,3,0,0,1,2,0,0,0,0,0,0,0,0,8,8,4,2,6,17,0,0,0,10,0,1,0,3,0,0,5,3,0,1,0,1,0,1,9,3,0,4,0,5,0,0,0,0,4,12,0,0,0,0,0,4,0,0,4,4,0,0,0
Msx2,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,7,0,41,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ehmt2,0,0,0,0,0,0,0,0,0,0,10,13,0,7,18,15,13,8,0,0,17,0,12,4,8,33,27,14,17,35,2,28,0,24,0,0,1,1,9,0,5,0,27,0,0,5,0,0,0,0,0,22,24,8,27,33,40,0,8,7,18,0,15,0,13,0,10,9,7,0,10,0,9,0,1,18,16,0,27,1,34,0,2,0,0,20,23,0,0,0,2,6,10,0,0,11,15,0,0,0
Kirrel,0,0,0,0,0,0,0,0,0,0,2,1,0,1,11,1,4,1,0,0,5,0,0,0,5,3,5,2,1,5,0,3,0,1,0,1,0,0,4,0,1,0,2,0,0,1,0,0,0,0,0,7,5,0,1,4,4,0,4,1,5,0,7,0,1,0,0,1,2,0,4,0,0,0,0,0,0,0,15,0,8,0,1,0,0,2,11,0,0,0,0,0,1,0,0,4,1,0,0,2
Dixdc1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gpr63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cald1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,15,5,5,0,0,6,0,6,1,6,1,6,2,5,12,1,5,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,1,2,3,4,0,0,2,9,0,1,0,4,0,1,2,4,0,2,0,2,0,0,11,5,0,0,0,2,0,2,0,0,2,3,0,0,0,1,0,1,0,0,0,2,0,0,0
Shroom1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
